Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id;;;;;;;;0,180690245;3-superartista;0,227181974;2-ArtistasMedios;0,592127781;1-PequenosArtistas
659;2026;11;1147;7400;28;5;1;;;;;;;;;;;;;
660;2026;11;991;6600;28;5;1;;;;;;;;;;;;;
661;2026;11;903;49900;16;3;2;;;;;;;;;;;;;
662;2026;3;1173;6000;16;3;1;;;;;;;;;;;;;
663;2026;2;1059;7400;16;3;1;;;;;;;;;;;;;
665;2026;2;1053;1400;31;5;1;;;;;;;;;;;;;
666;2026;2;915;2437,5;13;3;1;;;;;;;;;;;;;
1035;2025;9;982;6000;31;5;1;;;;;;;;;;;;;
1036;2025;6;1312;5000;5;2;1;;;;;;;;;;;;;
1037;2025;6;1312;5000;5;2;1;;;;;;;;;;;;;
1038;2025;7;1313;5000;14;3;1;;;;;;;;;;;;;
1039;2025;2;1313;5000;2;2;1;;;;;;;;;;;;;
1040;2025;2;1313;5000;2;2;1;;;;;;;;;;;;;
1041;2025;5;1314;6000;9;2;1;;;;;;;;;;;;;
1042;2025;8;1314;6000;9;2;1;;;;;;;;;;;;;
1043;2025;4;1307;5000;9;2;1;;;;;;;;;;;;;
1044;2025;5;1315;6000;7;2;1;;;;;;;;;;;;;
1045;2025;2;1316;6000;7;2;1;;;;;;;;;;;;;
1046;2025;7;975;6000;28;5;1;;;;;;;;;;;;;
1047;2025;7;975;1714,285714;28;5;1;;;;;;;;;;;;;
1048;2025;7;975;1500;25;5;1;;;;;;;;;;;;;
1049;2025;8;1024;6000;7;2;1;;;;;;;;;;;;;
1050;2025;6;1024;6000;7;2;1;;;;;;;;;;;;;
1051;2025;12;1317;2869,565217;7;2;1;;;;;;;;;;;;;
1052;2025;8;860;5000;29;5;1;;;;;;;;;;;;;
1053;2025;1;1318;3000;29;5;1;;;;;;;;;;;;;
1054;2025;9;1219;6000;3;2;1;;;;;;;;;;;;;
1055;2025;1;1319;8000;7;2;1;;;;;;;;;;;;;
1056;2025;6;1319;6000;1;1;1;;;;;;;;;;;;;
1057;2025;5;1319;6000;14;3;1;;;;;;;;;;;;;
1058;2025;12;1219;6000;31;5;1;;;;;;;;;;;;;
1059;2025;3;860;5000;29;5;1;;;;;;;;;;;;;
1060;2025;8;1320;4000;29;5;1;;;;;;;;;;;;;
1061;2025;5;1321;32000;14;3;2;;;;;;;;;;;;;
1062;2025;1;1090;5000;7;2;1;;;;;;;;;;;;;
1063;2025;1;1322;7000;26;5;1;;;;;;;;;;;;;
1064;2025;9;1322;12000;20;4;2;;;;;;;;;;;;;
1065;2025;4;1323;5500;4;2;1;;;;;;;;;;;;;
1066;2025;9;1323;6000;30;5;1;;;;;;;;;;;;;
1067;2025;9;1219;6000;30;5;1;;;;;;;;;;;;;
1068;2025;1;892;5000;9;2;1;;;;;;;;;;;;;
1069;2025;7;1107;4500;9;2;1;;;;;;;;;;;;;
1070;2025;3;1132;3500;14;3;1;;;;;;;;;;;;;
1071;2025;4;1324;5000;4;2;1;;;;;;;;;;;;;
1072;2025;6;913;6000;26;5;1;;;;;;;;;;;;;
1073;2025;8;1325;6000;4;2;1;;;;;;;;;;;;;
1074;2025;7;1326;5000;23;5;1;;;;;;;;;;;;;
1075;2025;6;1326;5000;24;5;1;;;;;;;;;;;;;
1076;2025;7;851;5000;28;5;1;;;;;;;;;;;;;
1077;2025;6;1327;4000;4;2;1;;;;;;;;;;;;;
1078;2025;8;1328;6000;4;2;1;;;;;;;;;;;;;
1079;2025;4;1329;4000;30;5;1;;;;;;;;;;;;;
1080;2025;10;1330;2181,818182;9;2;1;;;;;;;;;;;;;
1081;2025;5;1252;6000;22;4;1;;;;;;;;;;;;;
1082;2025;5;1331;6000;2;2;1;;;;;;;;;;;;;
1083;2025;4;1027;4000;32;6;1;;;;;;;;;;;;;
1084;2025;2;1027;4000;11;2;1;;;;;;;;;;;;;
1085;2025;3;1332;2444,444444;20;4;1;;;;;;;;;;;;;
1086;2025;11;851;6500;26;5;1;;;;;;;;;;;;;
1087;2025;7;1128;6000;26;5;1;;;;;;;;;;;;;
1088;2025;3;860;5000;32;6;1;;;;;;;;;;;;;
1089;2025;5;1333;5000;30;5;1;;;;;;;;;;;;;
1090;2025;12;862;6000;30;5;1;;;;;;;;;;;;;
1091;2025;4;860;5000;7;2;1;;;;;;;;;;;;;
1092;2025;11;1334;5000;3;2;1;;;;;;;;;;;;;
1093;2025;12;1334;5000;5;2;1;;;;;;;;;;;;;
1094;2025;11;1334;2000;7;2;1;;;;;;;;;;;;;
1095;2025;12;1334;5000;1;1;1;;;;;;;;;;;;;
1096;2025;7;1335;4000;1;1;1;;;;;;;;;;;;;
1097;2025;5;1335;4000;1;1;1;;;;;;;;;;;;;
1098;2025;3;1336;3259,259259;1;1;1;;;;;;;;;;;;;
1099;2025;5;1337;6000;22;4;1;;;;;;;;;;;;;
1100;2025;8;1338;6000;22;4;1;;;;;;;;;;;;;
1101;2025;3;860;6000;32;6;1;;;;;;;;;;;;;
1102;2025;3;860;6000;20;4;1;;;;;;;;;;;;;
